ASX Code,Last 16 Closes,Change (%),Stdev (%),Last 20 Closes,Last 15 Closes,Last 19 Closes,Last 14 Closes,Last 3 Closes
CTP,,11.29%,3.93%,"[0.06, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]",,,,
CAF,,-3.08%,1.95%,"[0.32, 0.32, 0.33, 0.32, 0.31, 0.33, 0.32, 0.32, 0.33, 0.33, 0.33, 0.33, 0.34, 0.34, 0.33, 0.32, 0.34, 0.32, 0.32, 0.31]",,,,
CXM,,0.0%,0.0%,,,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",,
CNI,,0.31%,1.78%,"[1.6, 1.58, 1.54, 1.54, 1.56, 1.57, 1.57, 1.57, 1.61, 1.61, 1.62, 1.61, 1.62, 1.62, 1.61, 1.59, 1.62, 1.63, 1.63, 1.6]",,,,
CIP,,0.7%,1.0%,"[2.88, 2.89, 2.85, 2.85, 2.85, 2.86, 2.88, 2.86, 2.88, 2.94, 2.91, 2.93, 2.94, 2.92, 2.9, 2.88, 2.89, 2.92, 2.91, 2.9]",,,,
COF,,1.29%,1.65%,"[1.12, 1.12, 1.11, 1.1, 1.11, 1.1, 1.11, 1.11, 1.12, 1.11, 1.12, 1.13, 1.15, 1.15, 1.13, 1.12, 1.14, 1.15, 1.14, 1.13]",,,,
CTT,,-33.86%,9.88%,"[0.94, 0.93, 0.92, 0.88, 0.92, 0.93, 0.94, 0.94, 0.94, 0.91, 0.88, 0.87, 0.91, 0.89, 0.87, 0.84, 0.81, 0.8, 0.68, 0.62]",,,,
CGR,,-3.06%,4.32%,,,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.11, 0.11, 0.1, 0.1, 0.1, 0.1, 0.1, 0.09, 0.09, 0.09]",,
CHN,,-26.28%,11.29%,"[1.37, 1.3, 1.33, 1.33, 1.38, 1.47, 1.47, 1.49, 1.46, 1.39, 1.37, 1.34, 1.35, 1.33, 1.21, 1.14, 1.12, 1.07, 1.05, 1.01]",,,,
CEL,,1.79%,4.35%,"[0.06, 0.05, 0.05, 0.05, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06]",,,,
CGF,,1.82%,4.84%,"[5.5, 5.38, 5.3, 5.25, 5.38, 5.42, 5.64, 5.6, 5.92, 5.87, 5.82, 5.95, 5.98, 6.02, 6.1, 6.03, 5.94, 5.98, 5.86, 5.6]",,,,
CIA,,-13.65%,5.6%,"[5.13, 4.91, 4.98, 5.07, 5.19, 5.44, 5.49, 5.33, 5.28, 5.2, 5.28, 5.38, 5.26, 5.23, 5.21, 4.86, 4.9, 4.77, 4.55, 4.43]",,,,
CCA,,-5.17%,2.7%,"[0.06, 0.05, 0.05, 0.05, 0.05, 0.06, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.06, 0.06, 0.05, 0.05, 0.05]",,,,
CHR,,-10.0%,7.16%,"[0.05, 0.05, 0.05, 0.04, 0.05, 0.05, 0.04, 0.04, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]",,,,
CC9,,-2.11%,2.33%,"[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]",,,,
CHC,,-2.52%,2.07%,"[16.5, 16.37, 16.2, 16.05, 16.33, 16.34, 16.8, 16.6, 16.78, 16.9, 16.82, 16.94, 17.06, 16.8, 16.58, 16.18, 16.78, 17.32, 16.5, 16.08]",,,,
CLW,,0.3%,1.24%,"[3.68, 3.67, 3.64, 3.64, 3.67, 3.66, 3.71, 3.67, 3.72, 3.76, 3.73, 3.76, 3.8, 3.77, 3.76, 3.69, 3.72, 3.76, 3.72, 3.69]",,,,
CQR,,7.63%,3.11%,"[3.34, 3.34, 3.31, 3.33, 3.35, 3.37, 3.4, 3.38, 3.42, 3.47, 3.5, 3.55, 3.57, 3.53, 3.56, 3.58, 3.59, 3.59, 3.6, 3.6]",,,,
CQE,,-3.65%,1.4%,"[2.78, 2.76, 2.75, 2.75, 2.76, 2.78, 2.79, 2.71, 2.69, 2.66, 2.73, 2.75, 2.79, 2.78, 2.79, 2.71, 2.74, 2.78, 2.75, 2.68]",,,,
CMX,,0.0%,0.0%,,,"[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]",,
CHW,,-9.09%,3.3%,"[0.82, 0.8, 0.77, 0.79, 0.75, 0.73, 0.78, 0.79, 0.8, 0.79, 0.8, 0.81, 0.81, 0.81, 0.75, 0.8, 0.76, 0.76, 0.76, 0.75]",,,,
CHM,,-20.0%,10.02%,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
CNU,,3.68%,1.68%,"[7.1, 7.07, 7.09, 7.05, 7.07, 7.1, 7.09, 7.03, 7.18, 7.25, 7.2, 7.22, 7.29, 7.26, 7.37, 7.31, 7.38, 7.33, 7.34, 7.36]",,,,
C79,,-18.13%,4.86%,"[4.77, 4.6, 4.56, 4.53, 4.3, 4.46, 4.34, 4.22, 4.26, 4.3, 4.25, 4.36, 4.24, 4.29, 4.12, 4.12, 4.12, 4.2, 4.0, 3.9]",,,,
CTO,,0.0%,6.51%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CCX,,-16.0%,4.59%,"[0.12, 0.12, 0.13, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.1]",,,,
CVL,,-3.17%,1.17%,"[0.93, 0.93, 0.92, 0.92, 0.9, 0.92, 0.91, 0.91, 0.92, 0.92, 0.92, 0.92, 0.92, 0.9, 0.93, 0.92, 0.9, 0.91, 0.9, 0.9]",,,,
C7A,,0.0%,9.43%,,,,"[0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0]",
CU6,,-36.64%,13.39%,"[2.77, 2.7, 2.61, 2.62, 2.63, 2.54, 2.81, 2.65, 2.83, 2.78, 2.52, 2.44, 2.35, 2.27, 2.22, 2.11, 2.08, 2.01, 1.89, 1.75]",,,,
